                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3209,                0.78296,                  1.185,                0.89261,                0.86821,                0.91251,                0.56507,                 1.4711,                0.70885,                 1.3337,               0.006535,               0.006535,               0.006535
                     37,                 1.3181,                0.77869,                 1.1847,                0.89789,                0.87756,                0.91843,                0.56506,                 1.4748,                0.70505,                 1.3424,               0.006436,               0.006436,               0.006436
                     38,                 1.3099,                0.77675,                 1.1798,                 0.8959,                0.87515,                0.91785,                0.56469,                 1.4636,                0.69888,                 1.3308,               0.006337,               0.006337,               0.006337
                     39,                 1.3024,                0.76303,                 1.1759,                0.89799,                0.87377,                0.91305,                0.56495,                 1.4587,                0.68818,                 1.3353,               0.006238,               0.006238,               0.006238
                     38,                 1.3066,                0.76233,                 1.1737,                0.89639,                0.86643,                0.91944,                0.56798,                 1.4633,                0.71225,                 1.3291,               0.006337,               0.006337,               0.006337
                     39,                 1.3089,                0.76618,                 1.1751,                 0.8876,                0.86542,                0.91704,                 0.5662,                  1.461,                0.70823,                 1.3261,               0.006238,               0.006238,               0.006238
                     40,                 1.3156,                0.76783,                 1.1756,                0.89419,                0.87414,                0.91168,                0.56047,                 1.4671,                0.70695,                 1.3295,               0.006139,               0.006139,               0.006139
                     41,                 1.3006,                0.75554,                 1.1684,                0.90562,                0.86048,                0.91271,                0.56706,                  1.449,                 0.6909,                 1.3156,                0.00604,                0.00604,                0.00604
                     42,                 1.3067,                0.76476,                 1.1692,                0.90021,                0.86826,                0.91686,                0.56879,                 1.4561,                0.68506,                 1.3168,               0.005941,               0.005941,               0.005941
                     43,                 1.2981,                0.75027,                 1.1636,                0.89404,                0.86724,                0.91382,                0.57032,                 1.4495,                0.69926,                 1.3137,               0.005842,               0.005842,               0.005842
                     44,                 1.2942,                0.74743,                 1.1656,                0.89692,                0.86576,                0.91223,                 0.5684,                 1.4626,                0.69517,                 1.3209,               0.005743,               0.005743,               0.005743
                     45,                  1.288,                0.74352,                 1.1597,                0.90858,                0.86023,                0.91456,                0.56662,                 1.4576,                0.69193,                 1.3231,               0.005644,               0.005644,               0.005644
                     46,                 1.2888,                0.73915,                 1.1596,                0.91045,                0.86271,                0.91752,                0.57187,                 1.4497,                0.68428,                 1.3241,               0.005545,               0.005545,               0.005545
                     47,                 1.2926,                0.73861,                  1.164,                0.89581,                0.86945,                0.91679,                0.57526,                 1.4475,                0.66766,                 1.3226,               0.005446,               0.005446,               0.005446
                     48,                 1.2837,                0.73436,                 1.1634,                 0.8952,                0.87491,                0.91728,                0.57715,                 1.4417,                0.66516,                 1.3176,               0.005347,               0.005347,               0.005347
                     49,                 1.2838,                0.73166,                 1.1613,                0.89545,                0.87272,                 0.9148,                0.57754,                  1.443,                0.66768,                   1.32,               0.005248,               0.005248,               0.005248
                     50,                 1.2765,                0.72544,                 1.1557,                0.89222,                0.87163,                0.91483,                0.58039,                 1.4419,                0.66788,                   1.32,               0.005149,               0.005149,               0.005149
                     51,                 1.2751,                0.72257,                 1.1557,                0.89593,                0.87262,                0.91435,                0.57951,                 1.4437,                 0.6701,                 1.3241,                0.00505,                0.00505,                0.00505
                     52,                 1.2796,                 0.7277,                 1.1554,                0.89235,                0.87416,                0.91446,                0.58069,                 1.4407,                0.67052,                 1.3225,               0.004951,               0.004951,               0.004951
                     53,                 1.2761,                   0.72,                  1.152,                 0.8953,                0.86825,                0.91239,                 0.5788,                 1.4379,                0.66478,                 1.3167,               0.004852,               0.004852,               0.004852
                     54,                 1.2726,                0.71431,                 1.1532,                0.90006,                0.87403,                0.91689,                0.57953,                 1.4352,                0.66583,                 1.3125,               0.004753,               0.004753,               0.004753
                     55,                 1.2678,                0.71057,                 1.1455,                0.89364,                0.87493,                0.91472,                0.57944,                 1.4317,                0.66436,                  1.302,               0.004654,               0.004654,               0.004654
                     56,                 1.2649,                0.71359,                 1.1451,                0.90437,                0.87744,                0.91931,                0.58015,                 1.4299,                 0.6571,                 1.3002,               0.004555,               0.004555,               0.004555
                     57,                 1.2717,                0.70605,                 1.1494,                 0.8964,                0.87942,                0.91855,                0.57967,                 1.4261,                0.65754,                 1.2984,               0.004456,               0.004456,               0.004456
                     58,                 1.2656,                0.70514,                 1.1486,                0.89582,                0.88231,                0.92019,                0.58092,                 1.4236,                0.66075,                 1.2993,               0.004357,               0.004357,               0.004357
                     59,                 1.2523,                0.69786,                 1.1404,                0.89556,                0.88682,                0.92165,                0.57998,                 1.4241,                0.65733,                 1.3003,               0.004258,               0.004258,               0.004258
                     60,                 1.2527,                0.69146,                 1.1386,                0.89738,                0.88268,                0.92134,                0.58238,                 1.4253,                0.65735,                 1.3013,               0.004159,               0.004159,               0.004159
                     61,                 1.2591,                0.69823,                 1.1422,                0.90204,                0.87525,                0.92166,                0.58327,                 1.4252,                 0.6553,                 1.3003,                0.00406,                0.00406,                0.00406
                     62,                 1.2541,                0.68935,                 1.1406,                0.90431,                0.87456,                0.92118,                0.58484,                 1.4256,                0.65475,                 1.3019,               0.003961,               0.003961,               0.003961
                     63,                 1.2458,                0.68231,                 1.1309,                0.89992,                0.87755,                0.91975,                0.58331,                 1.4273,                0.65386,                  1.301,               0.003862,               0.003862,               0.003862
                     64,                 1.2447,                 0.6819,                 1.1357,                0.90206,                0.87603,                0.92073,                0.58418,                 1.4294,                0.65225,                 1.3025,               0.003763,               0.003763,               0.003763
                     65,                 1.2431,                0.67878,                 1.1344,                0.90026,                0.87395,                0.91762,                0.58258,                 1.4313,                0.64999,                 1.3064,               0.003664,               0.003664,               0.003664
                     66,                 1.2438,                0.67667,                 1.1356,                0.89809,                0.87607,                0.91832,                0.58371,                 1.4302,                0.65097,                 1.3073,               0.003565,               0.003565,               0.003565
                     67,                 1.2424,                 0.6757,                 1.1365,                0.90434,                0.87038,                 0.9192,                0.58348,                 1.4291,                  0.651,                 1.3077,               0.003466,               0.003466,               0.003466
                     68,                 1.2423,                0.67048,                 1.1308,                0.90335,                0.87506,                0.92038,                 0.5852,                 1.4285,                0.65242,                 1.3074,               0.003367,               0.003367,               0.003367
